.24804, .62423
.35797, .42272
.60083, .88436
.39041, .39135
.86166, .67742
.88159, .50106
.82913, .22143
.61877, .68798
.28485, .47094
.94168, .60836
.12869, .19302
.38546, .90927
.78247, .03820
.22290, .35659
.71707, .98587
.38973, .00482
.22937, .73095
.70999, .78802
.41964, .06542
.93069, .83505
.95718, .08892
.45867, .80102
.20455, .92828
.03146, .58508
.81610, .03137
.66937, .19207
.15118, .61395
.66717, .62017
.96905, .91848
.79046, .33670
.60055, .89892
.07348, .19174
.65634, .51165
.36187, .13793
.39181, .94223
.68939, .87564
.87963, .16952
.72128, .23178
.47885, .84735
.13394, .89373
.60504, .89306
.68310, .06048
.38342, .77319
.34930, .54104
.78359, .56866
.65267, .79067
.03298, .09619
.80081, .18582
.31707, .52066
.53500, .46789
.17712, .37939
.23721, .47329
.06521, .13848
.63687, .73883
.24191, .08764
.44500, .27569
.33697, .18560
.48458, .75177
.84634, .38226
.70794, .67388
.05334, .85174
.44241, .76403
.14010, .56860
.36947, .46975
.30712, .05435
.33489, .97729
.34503, .60949
.52474, .28817
.91534, .40451
.91308, .56625
.75051, .32482
.97653, .42977
.55285, .80697
.07922, .68518
.10000, .46166
.04315, .94015
.05468, .34057
.16766, .36618
.60705, .15634
.63659, .49551
.21942, .95016
.76541, .71273
.93338, .05935
.08630, .42050
.84146, .27661
.15664, .63159
.91259, .42498
.60638, .07122
.77581, .06649
.07995, .24688
.07296, .18954
.72994, .46704
.59741, .37973
.62545, .45541
.41870, .92654
.72961, .61770
.86068, .76611
.01229, .40161
.67684, .70013
.73260, .79287
